time_x	cp_y
2435	-0.00328
2436	-0.00278
2437	-0.00101
2438	-0.00101
2439	-2.39185E-4
2440	3.9875E-5
2441	-4.41086E-4
2442	-0.00119
2443	-3.03007E-4
2444	-2.83968E-4
2445	-0.00195
2446	-0.00122
2447	-9.68007E-4
2448	-0.00135
2449	-0.00121
2450	-0.00135
2451	-0.00251
2452	-0.0038
2453	-0.00233
2454	-5.2849E-4
2455	0.00228
2456	0.00413
2457	0.00605
2458	0.00555
2459	0.00308
2460	2.85351E-4
2461	-0.00127
2462	-0.00317
2463	-0.00543
2464	-0.00697
2465	-0.00977
2466	-0.00976
2467	-0.00784
2468	-0.00637
2469	-0.00436
2470	0.00147
2471	0.00541
2472	0.00672
2473	0.00805
2474	0.00814
2475	0.00757
2476	0.00494
2477	0.00377
2478	0.00201
2479	0.00102
2480	-3.70258E-4
2481	-0.00111
2482	-0.00139
2483	-2.9062E-4
